Tanggal,penjualan,Permintaan,produksi,persediaan
13/9/2022,1,,,214
14/9/2022,,,,214
15/9/2022,30,,,184
16/9/2022,,,,184
17/9/2022,,,,184
18/9/2022,,,,184
19/9/2022,,,,184
20/9/2022,,1,,183
21/9/2022,26,,,157
22/9/2022,,,,157
23/9/2022,,,,157
24/9/2022,,,,157
25/9/2022,9,,,148
26/9/2022,,,,148
27/9/2022,,,,148
28/9/2022,,,,148
29/9/2022,4,,,144
30/9/2022,1,,,143
1/10/2022,,,,143
2/10/2022,15,,,128
3/10/2022,1,,,127
4/10/2022,,,,127
5/10/2022,19,,,108
6/10/2022,,,,108
7/10/2022,,,,108
8/10/2022,8,,,100
9/10/2022,,,,100
10/10/2022,5,,,95
11/10/2022,3,,159,251
12/10/2022,6,,,245
13/10/2022,21,,,224
14/10/2022,11,,20,233
15/10/2022,,,,233
16/10/2022,,,,233
17/10/2022,,,,233
18/10/2022,,,,233
19/10/2022,,,,233
20/10/2022,1,,,232
21/10/2022,9,,,223
22/10/2022,11,2,,210
23/10/2022,7,27,,176
24/10/2022,,,,176
25/10/2022,,,,176
26/10/2022,,,,176
27/10/2022,,,,176
28/10/2022,5,,,171
29/10/2022,3,,,168
30/10/2022,35,,,133
31/10/2022,,,,133
1/11/2022,,,,133
2/11/2022,,,,133
3/11/2022,,,,133
4/11/2022,3,,,130
5/11/2022,,,,130
6/11/2022,,,,130
7/11/2022,4,,,126
8/11/2022,,,,126
9/11/2022,,,15,141
10/11/2022,76,,,65
11/11/2022,,,,65
12/11/2022,1,,65,129
13/11/2022,,,,129
14/11/2022,6,,,123
15/11/2022,2,,,121
16/11/2022,6,,,115
17/11/2022,,,,115
18/11/2022,,,,115
19/11/2022,,,,115
20/11/2022,,,,115
21/11/2022,,,,115
22/11/2022,8,,,107
23/11/2022,,,,107
24/11/2022,,,,107
25/11/2022,,,,107
26/11/2022,,1,,106
27/11/2022,,,,106
28/11/2022,,,,106
29/11/2022,2,,181,285
30/11/2022,,,,285
1/12/2022,,,,285
2/12/2022,24,,,261
3/12/2022,12,,,249
4/12/2022,4,,,245
5/12/2022,,,,245
6/12/2022,,,10,255
7/12/2022,20,,,235
8/12/2022,36,,,199
9/12/2022,26,3,,170
10/12/2022,3,,,167
